stop_point_id,lat,lon,name,stop_point_type
StopPoint:node:4708733903,10.078248499999999,76.27557019999999,Sree Narayana Dharma Paripalana Yogam Bus Stop,Platform
StopPoint:node:4716589462,10.155043599999999,76.29524479999999,Kunnukara,Unknown
StopPoint:node:4716589463,10.1538401,76.2735362,Thelathuruth,Unknown
StopPoint:node:4716591373,10.154947499999999,76.27995969999999,,Unknown
StopPoint:node:4716858150,10.1499588,76.2171031,Kottakavu Palli,Unknown
StopPoint:node:4716858152,10.1561769,76.3112166,Kuttiyal,Platform
StopPoint:node:4729063042,10.1972875,76.20095289999999,V.P. Thuruth,Unknown
StopPoint:node:4729063046,10.121188799999999,76.19912149999999,Janatha,Platform
StopPoint:node:4729063048,10.0827527,76.2096157,edavanakad palli,Platform
StopPoint:node:4729063216,10.1263354,76.1983715,Ayyampilly,Platform
StopPoint:node:4729063219,10.0790683,76.2105579,Aniyal,Platform
StopPoint:node:4729063228,10.066506,76.2129234,ATH,Platform
StopPoint:node:4729063558,10.0472805,76.2171948,Njarackal,Platform
StopPoint:node:4729546009,10.087694299999999,76.208524,AE Office,Platform
StopPoint:node:4731124415,10.1480679,76.22473959999999,Municipal Junction,Platform
StopPoint:node:4731124416,10.1500428,76.2206028,Paravur Market,Unknown
StopPoint:node:4731124902,10.186386899999999,76.2023631,,Unknown
StopPoint:node:4731124903,10.179205699999999,76.22627349999999,Vadakkumpuram,Unknown
StopPoint:node:4731124904,10.1505785,76.26826539999999,Manjaly,Unknown
StopPoint:node:4731125089,10.1688849,76.2342618,Bharanimukku Bus Stop,Unknown
StopPoint:node:4731125112,10.1497458,76.2608503,,Unknown
StopPoint:node:4731125113,10.1485381,76.22632279999999,,Platform
StopPoint:node:4731125114,10.151366,76.2233285,Kannankulangara,Unknown
StopPoint:node:4731125115,10.1492693,76.2182922,,Unknown
StopPoint:node:4731125540,10.188386,76.2171176,,Unknown
StopPoint:node:4731125541,10.148691,76.24413059999999,Vedimara,Unknown
StopPoint:node:4731125594,10.148915299999999,76.2242163,Municipal Junction,Platform
StopPoint:node:4731125595,10.1511017,76.22032399999999,Paravur Market,Unknown
StopPoint:node:4731125621,10.1868815,76.20305359999999,Kuriyapilly,Unknown
StopPoint:node:4731125622,10.150127699999999,76.2631801,,Unknown
StopPoint:node:4731125821,10.1876295,76.2077975,,Unknown
StopPoint:node:4731126041,10.1495123,76.2546397,,Unknown
StopPoint:node:4731126042,10.149103,76.2325396,Private Bustand,Platform
StopPoint:node:4731126321,10.1499016,76.2669439,,Unknown
StopPoint:node:4733928387,10.0584683,76.2905773,Manjumel kavala,Unknown
StopPoint:node:4735966321,9.967338,76.28616219999999,Jose Jn,Platform
StopPoint:node:4738562685,10.0580976,76.29062259999999,manjumal Kavala,Unknown
StopPoint:node:4739412584,10.1974228,76.20074129999999,VP Thuruth,Unknown
StopPoint:node:4740877276,10.1617599,76.2143399,Aalummaav,Unknown
StopPoint:node:4740877282,10.184275699999999,76.20462239999999,,Unknown
StopPoint:node:4740877428,10.1655295,76.2133643,Parayakad Junction,Unknown
StopPoint:node:4740877599,10.171766,76.2120104,Thuruthipuram,Unknown
StopPoint:node:4740877600,10.178149099999999,76.2109918,Andipillikavu,Unknown
StopPoint:node:4740877952,10.178110799999999,76.2109639,Andipillikavu,Unknown
StopPoint:node:4745604977,10.153578,76.2735194,Thelathuruth,Unknown
StopPoint:node:4745634827,10.1726002,76.2963929,,Platform
StopPoint:node:4745634828,10.1725078,76.2963547,,Platform
StopPoint:node:4745634829,10.170451199999999,76.2958867,,Platform
StopPoint:node:4745634831,10.1628388,76.2875124,,Unknown
StopPoint:node:4745634832,10.155470099999999,76.2843876,,Unknown
StopPoint:node:4745634833,10.155574399999999,76.284334,,Unknown
StopPoint:node:4745634834,10.155553699999999,76.2845133,,Platform
StopPoint:node:4745634835,10.159627,76.2858239,,Unknown
StopPoint:node:4753199419,9.975278399999999,76.2785881,St. Teresa's,Platform
StopPoint:node:4759260783,9.794411499999999,76.3025519,,Unknown
StopPoint:node:4759826121,9.9317884,76.26659529999999,Bus stop to Fort Cochin,Platform
StopPoint:node:4769428928,10.0250304,76.3073744,Edapally,Unknown
StopPoint:node:4769428932,10.0435236,76.2987272,Kunnumpiram,Unknown
StopPoint:node:4769436232,9.9501589,76.33206679999999,,Platform
StopPoint:node:4769436233,9.9546912,76.3276712,Champakkara,Platform
StopPoint:node:4769436235,9.969521,76.3179692,Vytilla Junction,Platform
StopPoint:node:4792523922,9.8234281,76.31110029999999,Eramalloor,Unknown
StopPoint:node:4792523923,9.8347087,76.3093887,Kochveli junction,Unknown
StopPoint:node:4792525423,9.7962724,76.3158703,Kuthiyathodu,Unknown
StopPoint:node:4792525427,9.703495499999999,76.3564987,Chenganda,Unknown
StopPoint:node:4792530422,9.8781502,76.30381679999999,Aroor Bypass,Unknown
StopPoint:node:4802320604,10.1757841,76.2276799,,Unknown
StopPoint:node:4802320607,10.1781641,76.22188369999999,,Unknown
StopPoint:node:4802320608,10.1782737,76.2162594,SN Road,Unknown
StopPoint:node:4802320945,10.1783334,76.21865199999999,കൊച്ചങ്ങാടി,Unknown
StopPoint:node:4805940485,10.043532899999999,76.2985269,,Unknown
StopPoint:node:4884146623,9.9682011,76.2444663,Bus to airport,Unknown
StopPoint:node:4889056845,10.102941999999999,76.35846099999999,Thrikkunnathu Seminary,Platform
StopPoint:node:4889056860,10.1030366,76.35574869999999,Thrikkunnathu Seminary,Platform
StopPoint:node:4903755565,9.991377499999999,76.28836009999999,Town Hall,StopPosition
StopPoint:node:5145335691,9.9853471,76.27982589999999,St Alberts College Bus Stop,Unknown
StopPoint:node:5240431892,9.9781935,76.2766276,Penta Menaka,Unknown
StopPoint:node:5240432527,9.973791199999999,76.2791799,General Hospital,Platform
StopPoint:node:5240459124,9.9393569,76.2962826,,Unknown
StopPoint:node:5261851010,10.1571058,76.3551756,,Unknown
StopPoint:node:5261851012,10.157984599999999,76.39218679999999,നെടുമ്പാശ്ശേരി എയർപോർട്ട് ബസ് സ്റ്റാന്റ്,Unknown
StopPoint:node:5295234430,9.9629303,76.28814,Pallimuku,Platform
StopPoint:node:5377832022,9.9519708,76.3610771,Hill Palace Junction,Platform
StopPoint:node:5377841321,9.9532618,76.3406358,,Platform
StopPoint:node:5379782848,9.965929899999999,76.2952354,Manorama,Platform
StopPoint:node:5423779221,10.0280642,76.3099131,Edappally Toll Kallada Bus,Unknown
StopPoint:node:5524950666,10.0814506,76.3644444,Kodikuthmala Bus Stop,Platform
StopPoint:node:5657053466,9.6643244,76.2995808,Bus Stop,Platform
StopPoint:node:5657053467,9.6652325,76.3043462,Bus Stop,Platform
StopPoint:node:5657053468,9.6693939,76.3040668,Bus Stop,Platform
StopPoint:node:5689967927,9.7277513,76.3003038,Vettackal Bus Stop,Platform
StopPoint:node:5695746528,9.9870285,76.26740869999999,Bolgatty Ferry,Platform
StopPoint:node:5756729625,10.0238781,76.2516658,Mulavukad Panchayat Bus Stop,Unknown
StopPoint:node:5756729626,10.029747,76.2545572,Tower Line Bus Stop,Unknown
StopPoint:node:5756729627,10.0415239,76.2627983,Moolampilly Bus Stop,Unknown
StopPoint:node:5756729628,10.0107693,76.2580991,Mulavukadu Bus Stop,Unknown
StopPoint:node:5756729629,9.9910865,76.264877,Bolgatty Bus Stop,Platform
StopPoint:node:5756729630,9.9564416,76.2570915,Chakkamadam Bus Stop,Unknown
StopPoint:node:5756729631,9.964146999999999,76.245832,Kunnumpuram Bus Stop,Unknown
StopPoint:node:5757830236,10.056813,76.456823,Vathimattom Bus Stop,Unknown
StopPoint:node:5757830237,10.058888999999999,76.459366,Bank Junction Bus Stop,Unknown
StopPoint:node:5757830238,10.051547,76.449124,Chelakkulam Bus Stop,Unknown
StopPoint:node:5757830239,10.053965999999999,76.45285799999999,Jai Bharath College Bus Stop,Unknown
StopPoint:node:5757830240,10.043486,76.448447,Kummanod Bhandarakkavala Bus Stop,Unknown
StopPoint:node:5757830241,10.030714,76.44874899999999,Double Paalam Bus Stop,Unknown
StopPoint:node:5757830243,10.038879999999999,76.450163,Kummanod Bus Stop,Unknown
StopPoint:node:5757830244,10.001394999999999,76.458254,Kadayirippu Bus Stop,Unknown
StopPoint:node:5757830245,10.016261,76.45491899999999,Valathupady Bus Stop,Platform
StopPoint:node:5757830246,10.010888,76.455643,Engineering College Bus Stop,Platform
StopPoint:node:5757830247,9.974027999999999,76.447603,Patham Mile Bus Stop,Unknown
StopPoint:node:5757830248,10.055159999999999,76.435649,West Chelakkulam Bus Stop,Unknown
StopPoint:node:5757830249,10.053289999999999,76.43148599999999,West Chelakkulam Bus Stop,Unknown
StopPoint:node:5757830250,10.051895,76.42908299999999,Vilangu Bus Stop,Unknown
StopPoint:node:5757830251,10.0211429,76.4285542,Millumpadi Bus Stop,Unknown
StopPoint:node:5757830252,10.0358702,76.4231032,Njaralloor Bus Stop,Unknown
StopPoint:node:5757830253,10.0338015,76.4300655,Njaralloor Bus Stop,Unknown
StopPoint:node:5757830254,10.018131,76.426819,Ambalathazham Bus Stop,Unknown
StopPoint:node:5757830255,10.005044999999999,76.44003599999999,Pancode Bus Stop,Platform
StopPoint:node:5757830256,10.007427999999999,76.441861,Pulinchode Bus Stop,Platform
StopPoint:node:5757830257,9.999386999999999,76.440958,Iruppachira,Unknown
StopPoint:node:5757830258,9.982756,76.442353,Ashramam Bus Stop,Unknown
StopPoint:node:5757830260,10.060018999999999,76.41962,Muri Vilangu Bus Stop,Unknown
StopPoint:node:5757830261,10.056808,76.41066099999999,Chemmalappady Bus Stop,Unknown
StopPoint:node:5757830263,10.036567,76.41628299999999,Molekkurish Bus Stop,Unknown
StopPoint:node:5757830264,10.040358999999999,76.413688,Sevana Padi Bus Stop,Unknown
StopPoint:node:5757830265,10.036514,76.419899,Mayiladum Kunnu Bus Stop,Unknown
StopPoint:node:5757830266,10.036218,76.408312,Swarnath Bus Stop,Unknown
StopPoint:node:5757830267,10.030861999999999,76.408022,Achappan Kavala Bus Stop,Unknown
StopPoint:node:5757830268,10.0176503,76.4022073,Morakkala Church Bus Stop,Unknown
StopPoint:node:5757830269,10.010966999999999,76.410359,Pailimukk Bus Stop,Unknown
StopPoint:node:5757830270,9.98954,76.409115,Peechingachira Bus Stop,Unknown
